2026-04-03 16:47:18,511 | INFO | Continuous mode enabled; interval=30 minutes
2026-04-03 16:47:18,513 | INFO | Starting HR engine refresh
2026-04-03 16:51:08,571 | INFO | HR engine refresh completed successfully
2026-04-03 16:51:08,571 | INFO | Next run scheduled for 2026-04-03 05:17:18 PM
2026-04-03 17:17:18,513 | INFO | Starting HR engine refresh
2026-04-03 17:18:48,677 | INFO | HR engine refresh completed successfully
2026-04-03 17:18:48,677 | INFO | Next run scheduled for 2026-04-03 05:47:18 PM
2026-04-03 18:11:03,559 | INFO | Starting HR results refresh
2026-04-03 18:11:08,045 | INFO | HR results refresh completed successfully
2026-04-03 18:13:30,827 | INFO | Continuous mode enabled for HR results; interval=30 minutes
2026-04-03 18:13:30,828 | INFO | Starting HR results refresh
2026-04-03 18:13:35,322 | INFO | HR results refresh completed successfully
2026-04-03 18:13:35,322 | INFO | Next run scheduled for 2026-04-03 06:43:30 PM
2026-04-03 18:19:14,409 | INFO | Starting HR results refresh
2026-04-03 18:19:18,912 | INFO | HR results refresh completed successfully
2026-04-03 18:19:18,913 | INFO | Starting starting-lineups refresh
2026-04-03 18:19:23,847 | INFO | Starting-lineups refresh completed successfully
2026-04-03 18:19:36,362 | INFO | Continuous mode enabled for HR results + lineups; interval=30 minutes
2026-04-03 18:19:36,363 | INFO | Starting HR results refresh
2026-04-03 18:19:41,142 | INFO | HR results refresh completed successfully
2026-04-03 18:19:41,142 | INFO | Starting starting-lineups refresh
2026-04-03 18:19:46,259 | INFO | Starting-lineups refresh completed successfully
2026-04-03 18:19:46,260 | INFO | Next run scheduled for 2026-04-03 06:49:36 PM
2026-04-03 18:49:36,364 | INFO | Starting HR results refresh
2026-04-03 18:49:41,151 | INFO | HR results refresh completed successfully
2026-04-03 18:49:41,151 | INFO | Starting starting-lineups refresh
2026-04-03 18:49:45,818 | INFO | Starting-lineups refresh completed successfully
2026-04-03 18:49:45,818 | INFO | Next run scheduled for 2026-04-03 07:19:36 PM
2026-04-03 21:16:44,218 | INFO | Starting HR results refresh
2026-04-03 21:16:49,659 | INFO | HR results refresh completed successfully
2026-04-03 21:16:49,659 | INFO | Starting starting-lineups refresh
2026-04-03 21:16:55,877 | INFO | Starting-lineups refresh completed successfully
2026-04-03 21:16:55,878 | INFO | Next run scheduled for 2026-04-03 09:46:44 PM
2026-04-03 21:46:44,218 | INFO | Starting HR results refresh
2026-04-03 21:46:49,647 | INFO | HR results refresh completed successfully
2026-04-03 21:46:49,647 | INFO | Starting starting-lineups refresh
2026-04-03 21:46:55,857 | INFO | Starting-lineups refresh completed successfully
2026-04-03 21:46:55,857 | INFO | Next run scheduled for 2026-04-03 10:16:44 PM
2026-04-03 22:36:44,380 | INFO | Starting HR results refresh
2026-04-03 22:36:50,519 | INFO | HR results refresh completed successfully
2026-04-03 22:36:50,519 | INFO | Starting starting-lineups refresh
2026-04-03 22:36:56,835 | INFO | Starting-lineups refresh completed successfully
2026-04-03 22:36:56,836 | INFO | Next run scheduled for 2026-04-03 11:06:44 PM
2026-04-03 23:06:44,381 | INFO | Starting HR results refresh
2026-04-03 23:06:53,175 | INFO | HR results refresh completed successfully
2026-04-03 23:06:53,175 | INFO | Starting starting-lineups refresh
2026-04-03 23:07:01,732 | INFO | Starting-lineups refresh completed successfully
2026-04-03 23:07:01,732 | INFO | Next run scheduled for 2026-04-03 11:36:44 PM
2026-04-03 23:36:44,382 | INFO | Starting HR results refresh
2026-04-03 23:36:51,965 | INFO | HR results refresh completed successfully
2026-04-03 23:36:51,965 | INFO | Starting starting-lineups refresh
2026-04-03 23:36:59,655 | INFO | Starting-lineups refresh completed successfully
2026-04-03 23:36:59,657 | INFO | Next run scheduled for 2026-04-04 12:06:44 AM
2026-04-04 00:06:44,384 | INFO | Starting HR results refresh
2026-04-04 00:06:53,767 | INFO | HR results refresh completed successfully
2026-04-04 00:06:53,767 | INFO | Starting starting-lineups refresh
2026-04-04 00:06:54,401 | INFO | Starting-lineups refresh completed successfully
2026-04-04 00:06:54,402 | INFO | Next run scheduled for 2026-04-04 12:36:44 AM
2026-04-04 07:12:34,775 | INFO | Starting HR results refresh
2026-04-04 07:12:41,521 | INFO | HR results refresh completed successfully
2026-04-04 07:12:41,521 | INFO | Starting starting-lineups refresh
2026-04-04 07:12:42,102 | INFO | Starting-lineups refresh completed successfully
2026-04-04 07:12:42,102 | INFO | Next run scheduled for 2026-04-04 07:42:34 AM
2026-04-04 07:42:34,778 | INFO | Starting HR results refresh
2026-04-04 07:42:41,486 | INFO | HR results refresh completed successfully
2026-04-04 07:42:41,486 | INFO | Starting starting-lineups refresh
2026-04-04 07:42:42,027 | INFO | Starting-lineups refresh completed successfully
2026-04-04 07:42:42,027 | INFO | Next run scheduled for 2026-04-04 08:12:34 AM
2026-04-04 08:12:34,781 | INFO | Starting HR results refresh
2026-04-04 08:12:41,507 | INFO | HR results refresh completed successfully
2026-04-04 08:12:41,507 | INFO | Starting starting-lineups refresh
2026-04-04 08:12:42,110 | INFO | Starting-lineups refresh completed successfully
2026-04-04 08:12:42,110 | INFO | Next run scheduled for 2026-04-04 08:42:34 AM
2026-04-04 08:42:34,790 | INFO | Starting HR results refresh
2026-04-04 08:42:41,413 | INFO | HR results refresh completed successfully
2026-04-04 08:42:41,413 | INFO | Starting starting-lineups refresh
2026-04-04 08:42:41,992 | INFO | Starting-lineups refresh completed successfully
2026-04-04 08:42:41,994 | INFO | Next run scheduled for 2026-04-04 09:12:34 AM
2026-04-04 09:12:34,791 | INFO | Starting HR results refresh
2026-04-04 09:12:42,663 | INFO | HR results refresh completed successfully
2026-04-04 09:12:42,663 | INFO | Starting starting-lineups refresh
2026-04-04 09:12:43,323 | INFO | Starting-lineups refresh completed successfully
2026-04-04 09:12:43,323 | INFO | Next run scheduled for 2026-04-04 09:42:34 AM
2026-04-04 09:42:34,800 | INFO | Starting HR results refresh
2026-04-04 09:42:42,676 | INFO | HR results refresh completed successfully
2026-04-04 09:42:42,676 | INFO | Starting starting-lineups refresh
2026-04-04 09:42:43,288 | INFO | Starting-lineups refresh completed successfully
2026-04-04 09:42:43,288 | INFO | Next run scheduled for 2026-04-04 10:12:34 AM
2026-04-04 10:12:34,806 | INFO | Starting HR results refresh
2026-04-04 10:12:42,165 | INFO | HR results refresh completed successfully
2026-04-04 10:12:42,165 | INFO | Starting starting-lineups refresh
2026-04-04 10:12:42,770 | INFO | Starting-lineups refresh completed successfully
